<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>

Tameshk ETF,20241110, 17050.00, 17400.00, 17050.00, 17120.00,294587026470.00, 17204974,739,D,16940.00,17120.00
Tameshk ETF,20241109, 16630.00, 16980.00, 16630.00, 16940.00,150746538320.00, 8896809,378,D,16620.00,16940.00
Tameshk ETF,20241106, 16620.00, 16790.00, 16420.00, 16620.00,26361692840.00, 1585848,176,D,16620.00,16780.00
Tameshk ETF,20241105, 16630.00, 16700.00, 16590.00, 16620.00,6817249620.00, 410075,82,D,16550.00,16630.00
Tameshk ETF,20241104, 16560.00, 16620.00, 16330.00, 16550.00,19118261630.00, 1154972,80,D,16560.00,16600.00
Tameshk ETF,20241103, 16730.00, 16730.00, 16260.00, 16560.00,37829203400.00, 2283877,190,D,16750.00,16580.00
Tameshk ETF,20241102, 16790.00, 16980.00, 16690.00, 16750.00,44455986290.00, 2654113,191,D,16790.00,16690.00
Tameshk ETF,20241030, 16620.00, 16930.00, 16590.00, 16790.00,38063797250.00, 2266458,188,D,16620.00,16890.00
Tameshk ETF,20241029, 16670.00, 16800.00, 16480.00, 16620.00,99153109370.00, 5965078,288,D,16670.00,16660.00
Tameshk ETF,20241028, 16900.00, 16900.00, 16520.00, 16670.00,161790867090.00, 9703174,393,D,16650.00,16740.00
Tameshk ETF,20241027, 16940.00, 17320.00, 16550.00, 16650.00,334020959110.00, 20059855,1209,D,16820.00,16630.00
Tameshk ETF,20241026, 16550.00, 16840.00, 16550.00, 16820.00,60534280820.00, 3598688,202,D,16350.00,16840.00
Tameshk ETF,20241023, 16460.00, 16460.00, 16310.00, 16350.00,39111220120.00, 2391596,134,D,16460.00,16410.00
Tameshk ETF,20241022, 16410.00, 16540.00, 16400.00, 16460.00,6527382200.00, 396631,83,D,16480.00,16440.00
Tameshk ETF,20241021, 16450.00, 16500.00, 16370.00, 16480.00,33411133930.00, 2027820,101,D,16450.00,16480.00
Tameshk ETF,20241020, 16450.00, 16510.00, 16350.00, 16450.00,66543112680.00, 4045624,136,D,16450.00,16470.00
Tameshk ETF,20241019, 16450.00, 16500.00, 16350.00, 16450.00,31222056180.00, 1897771,130,D,16450.00,16470.00
Tameshk ETF,20241016, 16420.00, 16570.00, 16400.00, 16450.00,4631568720.00, 281521,73,D,16420.00,16500.00
Tameshk ETF,20241015, 16510.00, 16510.00, 16400.00, 16420.00,12110531220.00, 737614,86,D,16510.00,16400.00
Tameshk ETF,20241014, 16680.00, 16680.00, 16470.00, 16510.00,28036777190.00, 1697763,137,D,16680.00,16530.00
Tameshk ETF,20241013, 16650.00, 16730.00, 16600.00, 16680.00,92509785160.00, 5546891,147,D,16640.00,16660.00
Tameshk ETF,20241012, 16600.00, 16750.00, 16530.00, 16640.00,33605725200.00, 2019000,177,D,16410.00,16710.00
Tameshk ETF,20241009, 16490.00, 16510.00, 16400.00, 16410.00,15871816920.00, 967170,131,D,16490.00,16400.00
Tameshk ETF,20241008, 16400.00, 16540.00, 16370.00, 16490.00,19036974210.00, 1154452,134,D,16400.00,16400.00
Tameshk ETF,20241007, 16400.00, 16460.00, 16340.00, 16400.00,12294743270.00, 749454,116,D,16310.00,16350.00
Tameshk ETF,20241006, 16420.00, 16420.00, 16260.00, 16310.00,18372616410.00, 1126377,155,D,16420.00,16400.00
Tameshk ETF,20241005, 16400.00, 16460.00, 16350.00, 16420.00,22316919470.00, 1359053,108,D,16400.00,16350.00
Tameshk ETF,20241002, 16290.00, 16450.00, 16290.00, 16400.00,39927526120.00, 2434925,130,D,16450.00,16420.00
Tameshk ETF,20241001, 16400.00, 16500.00, 16350.00, 16450.00,43977683590.00, 2673998,153,D,16510.00,16490.00
Tameshk ETF,20240930, 16550.00, 16560.00, 16470.00, 16510.00,18156307100.00, 1099861,91,D,16400.00,16470.00
Tameshk ETF,20240929, 16400.00, 16450.00, 16390.00, 16400.00,18501876460.00, 1127984,169,D,16550.00,16440.00
Tameshk ETF,20240928, 16550.00, 16550.00, 16550.00, 16550.00,56717048600.00, 3427012,132,D,16710.00,16550.00
Tameshk ETF,20240925, 16890.00, 16890.00, 16670.00, 16710.00,27246493890.00, 1630314,221,D,16790.00,16690.00
Tameshk ETF,20240924, 16580.00, 16900.00, 16540.00, 16790.00,72440733980.00, 4314691,309,D,16440.00,16830.00
Tameshk ETF,20240923, 16260.00, 16560.00, 16260.00, 16440.00,20182665320.00, 1227588,172,D,16260.00,16530.00
Tameshk ETF,20240922, 16340.00, 16340.00, 16240.00, 16260.00,7060294940.00, 434079,120,D,16240.00,16270.00
Tameshk ETF,20240918, 16250.00, 16300.00, 16210.00, 16240.00,22087067430.00, 1360249,141,D,16180.00,16280.00
Tameshk ETF,20240917, 16010.00, 16330.00, 15800.00, 16180.00,90748095520.00, 5608621,261,D,16010.00,16310.00
Tameshk ETF,20240916, 15950.00, 16070.00, 15950.00, 16010.00,19096163170.00, 1193051,93,D,15950.00,15980.00
Tameshk ETF,20240915, 16100.00, 16100.00, 15920.00, 15950.00,19651277280.00, 1231906,84,D,15980.00,15920.00
Tameshk ETF,20240914, 16010.00, 16080.00, 15950.00, 15980.00,12706011840.00, 794882,166,D,15980.00,15950.00
Tameshk ETF,20240911, 16100.00, 16110.00, 15950.00, 15980.00,15572859850.00, 974512,129,D,16040.00,15980.00
Tameshk ETF,20240910, 16190.00, 16190.00, 15960.00, 16040.00,14711629710.00, 917368,104,D,16120.00,15990.00
Tameshk ETF,20240909, 16180.00, 16180.00, 16020.00, 16120.00,10012586770.00, 620984,106,D,15920.00,16100.00
Tameshk ETF,20240908, 16030.00, 16030.00, 15880.00, 15920.00,7214537780.00, 453140,78,D,16030.00,15880.00
Tameshk ETF,20240907, 16050.00, 16170.00, 15950.00, 16030.00,18779657290.00, 1171569,123,D,16050.00,15950.00
Tameshk ETF,20240903, 16080.00, 16080.00, 16040.00, 16050.00,43801757880.00, 2728306,152,D,16090.00,16050.00
Tameshk ETF,20240901, 16200.00, 16240.00, 16010.00, 16090.00,73808761460.00, 4587727,334,D,16190.00,16090.00
Tameshk ETF,20240831, 16130.00, 16230.00, 16130.00, 16190.00,116710643000.00, 7208473,515,D,15920.00,16210.00
Tameshk ETF,20240828, 15800.00, 16000.00, 15780.00, 15920.00,21180807770.00, 1330328,194,D,15800.00,15990.00
Tameshk ETF,20240827, 15760.00, 15880.00, 15600.00, 15800.00,26138137520.00, 1654479,119,D,15760.00,15820.00
Tameshk ETF,20240826, 15800.00, 15870.00, 15700.00, 15760.00,70507497070.00, 4473881,168,D,15770.00,15750.00
Tameshk ETF,20240824, 15600.00, 15820.00, 15600.00, 15770.00,55052859860.00, 3490361,213,D,15600.00,15820.00
Tameshk ETF,20240821, 15600.00, 15630.00, 15510.00, 15600.00,21029766580.00, 1348402,145,D,15500.00,15590.00
Tameshk ETF,20240820, 15390.00, 15570.00, 15350.00, 15500.00,30997494100.00, 2000463,165,D,15400.00,15560.00
Tameshk ETF,20240819, 15590.00, 15590.00, 15340.00, 15400.00,21251356360.00, 1379642,162,D,15590.00,15370.00
Tameshk ETF,20240818, 15790.00, 15790.00, 15500.00, 15590.00,47094459010.00, 3020198,239,D,15500.00,15590.00
Tameshk ETF,20240817, 15600.00, 15610.00, 15350.00, 15500.00,60212020690.00, 3884509,262,D,15310.00,15580.00
Tameshk ETF,20240814, 15060.00, 15310.00, 15060.00, 15310.00,19285538320.00, 1260047,109,D,15010.00,15310.00
Tameshk ETF,20240813, 15000.00, 15030.00, 14870.00, 15010.00,16631085320.00, 1107729,117,D,14990.00,15000.00
Tameshk ETF,20240812, 15070.00, 15120.00, 14950.00, 14990.00,17488920570.00, 1166588,114,D,15070.00,14980.00
Tameshk ETF,20240811, 15120.00, 15220.00, 15040.00, 15070.00,16058221720.00, 1065861,114,D,15110.00,15130.00
Tameshk ETF,20240810, 14950.00, 15160.00, 14950.00, 15110.00,21604400220.00, 1429469,111,D,14870.00,15160.00
Tameshk ETF,20240806, 14800.00, 14970.00, 14800.00, 14870.00,6963671200.00, 468369,62,D,14800.00,14860.00
Tameshk ETF,20240805, 14820.00, 14970.00, 14680.00, 14800.00,22618963090.00, 1528383,125,D,14820.00,14800.00
Tameshk ETF,20240804, 14590.00, 14890.00, 14340.00, 14820.00,33790507850.00, 2280665,176,D,14600.00,14820.00
Tameshk ETF,20240803, 15170.00, 15170.00, 14320.00, 14600.00,30431294890.00, 2084502,364,D,15340.00,14500.00
Tameshk ETF,20240731, 15870.00, 15870.00, 15170.00, 15340.00,19800873760.00, 1290914,270,D,15890.00,15310.00
Tameshk ETF,20240730, 15920.00, 15970.00, 15730.00, 15890.00,14071320400.00, 885723,117,D,15920.00,15890.00
Tameshk ETF,20240729, 16070.00, 16120.00, 15850.00, 15920.00,15630370210.00, 981653,166,D,16070.00,15900.00
Tameshk ETF,20240727, 16000.00, 16140.00, 16000.00, 16070.00,82601391270.00, 5140275,140,D,16140.00,16060.00
Tameshk ETF,20240724, 16170.00, 16170.00, 16100.00, 16140.00,2390092840.00, 148074,87,D,16130.00,16130.00
Tameshk ETF,20240723, 16190.00, 16240.00, 16080.00, 16130.00,7831253610.00, 485559,91,D,16000.00,16100.00
Tameshk ETF,20240722, 16010.00, 16070.00, 15980.00, 16000.00,3418490440.00, 213695,89,D,15980.00,15990.00
Tameshk ETF,20240721, 16080.00, 16080.00, 15890.00, 15980.00,9316708050.00, 583051,129,D,16210.00,15950.00
Tameshk ETF,20240720, 16380.00, 16380.00, 16080.00, 16210.00,16885293400.00, 1041563,157,D,16380.00,16080.00
Tameshk ETF,20240717, 16430.00, 16430.00, 16300.00, 16380.00,6888783030.00, 420613,158,D,16280.00,16400.00
Tameshk ETF,20240714, 16230.00, 16340.00, 16220.00, 16280.00,10591419010.00, 650431,115,D,16230.00,16310.00
Tameshk ETF,20240713, 16270.00, 16290.00, 16200.00, 16230.00,19848610300.00, 1222861,119,D,16270.00,16230.00
Tameshk ETF,20240710, 16380.00, 16500.00, 16180.00, 16270.00,28176172210.00, 1731898,174,D,16380.00,16250.00
Tameshk ETF,20240709, 16450.00, 16600.00, 16190.00, 16380.00,27261862270.00, 1664524,201,D,16450.00,16340.00
Tameshk ETF,20240708, 16620.00, 16620.00, 16370.00, 16450.00,34466763450.00, 2094943,274,D,16670.00,16390.00
Tameshk ETF,20240707, 17090.00, 17090.00, 16540.00, 16670.00,74109623880.00, 4445196,419,D,17100.00,16600.00
Tameshk ETF,20240706, 16730.00, 17690.00, 16600.00, 17100.00,261390689000.00, 15288814,1290,D,16090.00,17000.00
Tameshk ETF,20240703, 16040.00, 16210.00, 15880.00, 16090.00,13757924420.00, 855102,160,D,16040.00,16150.00
Tameshk ETF,20240702, 15920.00, 16150.00, 15770.00, 16040.00,25853530550.00, 1611379,191,D,15890.00,16130.00
Tameshk ETF,20240701, 15730.00, 15960.00, 15730.00, 15890.00,16540987880.00, 1041246,104,D,15730.00,15950.00
Tameshk ETF,20240630, 15830.00, 15830.00, 15530.00, 15730.00,14374899280.00, 914094,156,D,15830.00,15790.00
Tameshk ETF,20240629, 15900.00, 15930.00, 15640.00, 15830.00,42836904340.00, 2705739,144,D,15900.00,15830.00
Tameshk ETF,20240626, 15330.00, 15980.00, 15330.00, 15900.00,32387095250.00, 2037550,231,D,15770.00,15870.00
Tameshk ETF,20240624, 15590.00, 15900.00, 15590.00, 15770.00,45715226730.00, 2899412,214,D,15500.00,15830.00
